Ruc|Nombre/Razon|A partir del|Resolucion|
20537777592|ACTIVA PERU M & O CONSTRUCTION S.A.C.|01/02/2015|RS R.S.395-2014|
20103030791|ACTIVOS MINEROS S.A.C.|01/02/2015|RS R.S.395-2014|
20136740351|ACUACULTURA Y PESCA S.A.C|01/08/2006|RS R.S.091-2006|
20600102932|ACUARIO EXPORT E.I.R.L.|01/09/2016|RS R.S.180-2016|
20484136689|ACUICOLA SANTA ISABEL SOCIEDAD ANONIMA CERRADA|01/07/2015|RS R.S.139-2015|
20516596946|ADAMA AGRICULTURE PERU S.A.|01/09/2016|RS R.S.180-2016|
20100108616|ADAMS S A|01/06/2002|RS R.S.037-2002|
20503980216|ADECCO CONSULTING S.A.|01/11/2012|RS R.S.228-2012|
20261898706|ADEXUS PERU SA|01/06/2002|RS R.S.037-2002|
20347100316|ADIDAS PERU S.A.C|01/06/2002|RS R.S.037-2002|
20492050742|ADM ANDINA PERU S.R.L.|01/01/2010|RS R.S.265-2009|
20506395179|ADM INCA S.A.C.|01/11/2003|RS R.S. 184-2003|
20100114934|ADMINISTRACION DE EMPRESAS S.A.C.|01/06/2002|RS R.S.037-2002|
20100121809|ADMINISTRADORA CLINICA RICARDO PALMA S.A.|01/06/2002|RS R.S.037-2002|
20306841506|ADMINISTRADORA JOCKEY PLAZA SHOPPING CENTER SA|01/06/2002|RS R.S.037-2002|
20458378747|AERO GAS DEL NORTE SOCIEDAD ANONIMA CERRADA - AERO GAS DEL NORTE SAC|01/02/2015|RS R.S.395-2014|
20100010721|AERO TRANSPORTE S A|01/06/2002|RS R.S.037-2002|
20538593053|AEROPUERTOS ANDINOS DEL PERU S.A.|01/02/2015|RS R.S.395-2014|
20514513172|AEROPUERTOS DEL PERU S.A.|01/01/2010|RS R.S.265-2009|
20159855938|AESALUD HOSPITAL VICTOR LARCO HERRERA|01/11/2002|RS R.S.135-2002|
20545642361|AFINMUEBLES S.A.C|01/09/2016|RS R.S.180-2016|
20551464971|AFP HABITAT S.A.|01/07/2015|RS R.S.139-2015|
20157036794|AFP INTEGRA S A|01/06/2002|RS R.S.037-2002|
20380799643|AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION|01/11/2002|RS R.S.135-2002|
20269215624|AGENCIAS UNIVERSALES PERU S.A.|01/06/2002|RS R.S.037-2002|
20511902208|AGFA - GEVAERT LIMITADA - SUCURSAL DEL PERU|01/09/2016|RS R.S.180-2016|
20509862843|AGP PERU S.A.C.|01/12/2011|RS R.S.257-2011|
20100166578|AGRIBRANDS PURINA PERU S.A.|01/06/2002|RS R.S.037-2002|
20505688903|AGRICOLA ANDREA S.A.C.|01/03/2014|RS R.S.378-2013|
20525717748|AGRICOLA ARANTXA SOCIEDAD ANONIMA|01/03/2014|RS R.S.378-2013|
20367472694|AGRICOLA ATHOS SA|01/02/2003|RS R.S.181-2002|
20461642706|AGRICOLA CERRO PRIETO S.A.|01/06/2012|RS R.S.096-2012|
20515139321|AGRICOLA CHALLAPAMPA SAC|01/03/2014|RS R.S.378-2013|
20372081831|AGRICOLA CHAPI S.A.|01/08/2006|RS R.S.091-2006|
20367336081|AGRICOLA COPACABANA DE CHINCHA S.A.|01/03/2014|RS R.S.378-2013|
20525413447|AGRICOLA DEL CHIRA S.A.|01/01/2010|RS R.S.265-2009|
20293718220|AGRICOLA DON RICARDO S.A.C.|01/11/2012|RS R.S.228-2012|
20136222725|AGRICOLA HOJA REDONDA S.A.|01/06/2012|RS R.S.096-2012|
20109930751|AGRICOLA HUARMEY S.A.|01/03/2014|RS R.S.378-2013|
20510977182|AGRICOLA LA JOYA SOCIEDAD ANONIMA CERRADA|01/03/2014|RS R.S.378-2013|
20515349309|AGRICOLA LA VENTA S.A.|01/11/2012|RS R.S.228-2012|
20101976867|AGRICOLA LAS LLAMOZAS S.A.|01/06/2002|RS R.S.037-2002|
20538803473|AGRICOLA LAS MARIAS S.A.C.|01/03/2014|RS R.S.378-2013|
20389426891|AGRICOLA LOS MEDANOS S.A.|01/07/2015|RS R.S.139-2015|
20546110720|AGRICOLA NORSUR S.A.C|01/07/2015|RS R.S.139-2015|
20411808972|AGRICOLA PAMPA BAJA S.A.C.|01/12/2011|RS R.S.257-2011|
20154697650|AGRICOLA RIACHUELO S.A.C|01/03/2014|RS R.S.378-2013|
20482800999|AGRICOLA RIO GRANDE S.A.C.|01/09/2016|RS R.S.180-2016|
20566528844|AGRICOLA SAMI S.A.C.|01/09/2016|RS R.S.180-2016|
20517952533|AGRICOLA SAN JOSE S.A.|01/03/2014|RS R.S.378-2013|
20481050848|AGRICOLA SANTA MARCELA EIRL|01/03/2014|RS R.S.378-2013|
20512864300|AGRICOLA SOL DE VILLACURI S.A.C.|01/03/2014|RS R.S.378-2013|
20104443819|AGRICOLA VIñA VIEJA VIñA STA ISABEL SAC.|01/07/2015|RS R.S.139-2015|
20402805294|AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA|01/07/2015|RS R.S.139-2015|
20265271121|AGRICOLA YAURILLA S.A|01/03/2014|RS R.S.378-2013|
20168707224|AGRO CORPORACION S.A.C.|01/06/2002|RS R.S.037-2002|
20518803078|AGRO EXPORTACIONES GRACE SAC|01/02/2015|RS R.S.395-2014|
20552256647|AGRO FERGI S.A.C.|01/02/2015|RS R.S.395-2014|
20135948641|AGRO INDUSTRIAL PARAMONGA S.A.A.|01/02/2003|RS R.S.181-2002|
20550726808|AGRO MOLINO S.A.C.|01/02/2015|RS R.S.395-2014|
20201146497|AGRO PARACAS S.A.|01/05/2011|RS R.S.082-2011|
20530213871|AGRO SANTA VERONICA SOCIEDAD ANONIMA CERRADA|01/07/2015|RS R.S.139-2015|
20517805662|AGRO SUR LATINO SAC|01/07/2015|RS R.S.139-2015|
20318018856|AGRO VICTORIA S.A.C.|01/03/2014|RS R.S.378-2013|
20522001563|AGROEXPORTACIONES NOR PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20556450600|AGROEXPORTADORA SOL DE OLMOS S.A.C.|01/09/2016|RS R.S.180-2016|
20327739230|AGROINCA PRODUCTOS PERUANOS DE EXP. SA|01/09/2016|RS R.S.180-2016|
20571343640|AGROINDPEX S.A.C.|01/07/2015|RS R.S.139-2015|
20108918099|AGROINDUSTRIA CAMPOY SRL|01/02/2015|RS R.S.395-2014|
20510844034|AGROINDUSTRIA EL COMEDERO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|01/02/2015|RS R.S.395-2014|
20100166144|AGROINDUSTRIA SANTA MARIA S.A.C.|01/06/2002|RS R.S.037-2002|
20506475288|AGROINDUSTRIAL DEL PERU SOCIEDAD ANONIMA CERRADA|01/06/2012|RS R.S.096-2012|
20481555702|AGROINDUSTRIAL ESTANISLAO DEL CHIMU S.A.C.|01/03/2014|RS R.S.378-2013|
20132377783|AGROINDUSTRIAL LAREDO S.A.A.|01/06/2003|RS R.S.101-2003|
20104420282|AGROINDUSTRIAS AIB S.A|01/06/2002|RS R.S.037-2002|
20487777081|AGROINDUSTRIAS AURORA S.A.C.|01/07/2015|RS R.S.139-2015|
20363564055|AGROINDUSTRIAS CIRNMA S.R.LTDA.|01/07/2015|RS R.S.139-2015|
20486209063|AGROINDUSTRIAS DEL MANTARO S.A.C.|01/07/2015|RS R.S.139-2015|
20519115558|AGROINDUSTRIAS GOLDEN FRESH SOCIEDAD ANONIMA CERRADA - AGROINDUSTRIAS GOLDEN FRESH S.A.C.|01/02/2015|RS R.S.395-2014|
20334885560|AGROINDUSTRIAS ICELS S.A.C.|01/05/2011|RS R.S.082-2011|
20440383077|AGROINDUSTRIAS INKA GOLD EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA|01/07/2015|RS R.S.139-2015|
20342015108|AGROINDUSTRIAS NOBEX S.A.|01/03/2014|RS R.S.378-2013|
20116225779|AGROINDUSTRIAS SAN JACINTO S A A|01/05/2011|RS R.S.082-2011|
20512252282|AGROINDUSTRIAS SAN SIMON S.A.|01/02/2015|RS R.S.395-2014|
20386367664|AGROINDUSTRIAS VERDEFLOR S.A.C.|01/07/2015|RS R.S.139-2015|
20554251677|AGROINPER FOODS S.A.C.|01/07/2015|RS R.S.139-2015|
20519190681|AGROINVERSIONES VALLE Y PAMPA PERU SOCIEDAD ANONIMA|01/02/2015|RS R.S.395-2014|
20547999691|AGROLMOS SOCIEDAD ANONIMA - AGROLMOS S.A.|01/02/2015|RS R.S.395-2014|
20110378956|AGROMAR INDUSTRIAL S.A.|01/06/2002|RS R.S.037-2002|
20518770471|AGROMIN LA BONITA SAC|01/07/2015|RS R.S.139-2015|
20513328495|AGRONEGOCIOS LA GRAMA S.A.C.|01/07/2015|RS R.S.139-2015|
20530042708|AGRONEGOCIOS LOS ANGELES S.A.C.|01/07/2015|RS R.S.139-2015|
20515927353|AGROPACKERS SOCIEDAD ANONIMA CERRADA|01/03/2014|RS R.S.378-2013|
20133417452|AGROPECUARIA CHIMU SRL|01/11/2012|RS R.S.228-2012|
20320731314|AGROPECUARIA DOÑA SILVIA S.R.L.|01/02/2015|RS R.S.395-2014|
20519666601|AGROPECUARIA E INDUSTRIAS FAFIO S.A.|01/11/2012|RS R.S.228-2012|
20230668401|AGROPECUARIA LA CAMPIÑA E.I.R.L.|01/02/2015|RS R.S.395-2014|
20254979610|AGROPECUARIA LA LIBERTAD S.A.|01/02/2015|RS R.S.395-2014|
20534068582|AGROPECUARIA LA PROVIDENCIA S.A.C.|01/03/2014|RS R.S.378-2013|
20336956677|AGROPECUARIA LAS LOMAS DE CHILCA S.A|01/07/2015|RS R.S.139-2015|
20520521811|AGROPECUARIA PLUMA BLANCA S.A.C.|01/11/2012|RS R.S.228-2012|
20104508023|AGROPECUARIA RIO BRAVO HNOS S.A.C.|01/11/2012|RS R.S.228-2012|
20472710029|AGROPECUARIA SAN RAMON S.A.C.|01/07/2015|RS R.S.139-2015|
20419208583|AGROPECUARIA WONG S.A.C.|01/02/2015|RS R.S.395-2014|
20272963437|AGROSURPE S.R.LTDA.|01/02/2015|RS R.S.395-2014|
20250406941|AGROVET MARKET S.A|01/02/2015|RS R.S.395-2014|
20101323634|AGROVET SOCIEDAD ANONIMA|01/06/2002|RS R.S.037-2002|
20518663713|AGROWORLD S.A.C.|01/03/2014|RS R.S.378-2013|
20514430552|AGUA ALCANTARILLADO Y OBRAS SOCIEDAD ANONIMA CERRADA - AGALOBRAS S.A.C.|01/07/2015|RS R.S.139-2015|
20512217452|AGUALIMA S.A.C.|01/03/2014|RS R.S.378-2013|
20297660536|AGUAYTIA ENERGY DEL PERU S.R.L.|01/06/2002|RS R.S.037-2002|
20455870969|AGZ TRANSPORTES S.A.C.|01/11/2012|RS R.S.228-2012|
20494637074|AHREN CONTRATISTAS GENERALES S.A.C|01/07/2015|RS R.S.139-2015|
20171604355|AIS HOSPITAL SANTA ROSA|01/11/2002|RS R.S.135-2002|
20510645261|AJANI S.A.C|01/06/2012|RS R.S.096-2012|
20393177706|AJEPER DEL ORIENTE S.A|01/02/2015|RS R.S.395-2014|
20331061655|AJEPER S.A.|01/06/2002|RS R.S.037-2002|
20100085063|AJINOMOTO DEL PERU S A|01/06/2002|RS R.S.037-2002|
20153395943|ALBEMARCO S.A.C.|01/11/2012|RS R.S.228-2012|
20100902533|ALBEN S A|01/02/2003|RS R.S.181-2002|
20418140551|ALBIS S.A.|01/06/2002|RS R.S.037-2002|
20137021014|ALCATEL-LUCENT DEL PERU S.A|01/06/2002|RS R.S.037-2002|
20515631829|ALCIMAR´S MEDIC S.A.C.|01/02/2015|RS R.S.395-2014|
20100725062|ALCIS S A|01/06/2002|RS R.S.037-2002|
20548838461|ALDESA CONSTRUCCIONES SA SUCURSAL EN PERU|01/02/2015|RS R.S.395-2014|
20101869947|ALERT DEL PERU SA|01/06/2012|RS R.S.096-2012|
20297867718|ALESE S.A.C.|01/06/2012|RS R.S.096-2012|
20100443326|ALFA DISTRIBUIDORES S A|01/06/2012|RS R.S.096-2012|
20100247730|ALFRED H KNIGHT DEL PERU SOCIEDAD ANONIMA CERRADA-ALFRED H KNIGHT DEL PERU S.A.C.|01/02/2015|RS R.S.395-2014|
20100025915|ALFREDO PIMENTEL SEVILLA S A|01/06/2002|RS R.S.037-2002|
20369227026|ALGAS MULTIEXPORT DEL PERU S.A.C.|01/03/2014|RS R.S.378-2013|
20136435397|ALGODONERA PERUANA S.A.C|01/06/2002|RS R.S.037-2002|
20477851976|ALGOSEMI S.A.C|01/09/2016|RS R.S.180-2016|
20553022275|ALGOTEX PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20505727909|ALIANZA ALGODONERA S.A.C|01/02/2015|RS R.S.395-2014|
20100055237|ALICORP SAA|01/06/2002|RS R.S.037-2002|
20557543571|ALIMENCORP SOCIEDAD ANONIMA CERRADA|01/09/2016|RS R.S.180-2016|
20480784945|ALIMENTA PERU S.A.C.|01/02/2015|RS R.S.395-2014|
20517842517|ALIMENTOS CIELO SOCIEDAD ANONIMA CERRADA - ALI CI S.A.C.|01/11/2012|RS R.S.228-2012|
20100226902|ALIMENTOS PROCESADOS SA|01/02/2004|RS R.S. 008-2004|
20124952850|ALIMENTOS Y SERVICIOS AGROPECUARIOS SRL.|01/09/2016|RS R.S.180-2016|
20553654310|ALINORTE PERU SOCIEDAD ANONIMA CERRADA - ALINORTE PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20465976561|ALISUR S.A.C.|01/03/2014|RS R.S.378-2013|
20474807101|ALITECNO S.A.C.|01/09/2016|RS R.S.180-2016|
20101283403|ALLPA S.A.C.|01/07/2015|RS R.S.139-2015|
20419922391|ALLTECHNOLOGY PERU S.R.L|01/09/2016|RS R.S.180-2016|
20523273851|ALLUS SPAIN S.L SUCURSAL DEL PERU|01/02/2015|RS R.S.395-2014|
20455462925|ALMACENAJES AREQUIPA E.I.R.L.|01/11/2012|RS R.S.228-2012|
20531321970|ALMACENES DE LA SELVA S.A.C.|01/11/2012|RS R.S.228-2012|
20132345237|ALMACENES POPULARES S.R.LTDA.|01/06/2012|RS R.S.096-2012|
20100176701|ALMACENES SANTA CLARA S A|01/06/2002|RS R.S.037-2002|
20101600735|ALMERIZ S A|01/03/2014|RS R.S.378-2013|
20600395573|ALPACA FIELD S.A.C.|01/09/2016|RS R.S.180-2016|
20513535369|ALPACAS DEL SUR S.A.C. EN LIQUIDACION|01/09/2016|RS R.S.180-2016|
20530811183|ALPAMAYO INVERSIONES S.A.C.|01/02/2015|RS R.S.395-2014|
20538314197|ALPHA TRADING INTERNATIONAL SOCIEDAD ANONIMA CERRADA - ALPHA TRADING INTERNATIONAL S.A.C.|01/07/2015|RS R.S.139-2015|
20220964869|ALS PERU S.A.|01/03/2014|RS R.S.378-2013|
20549548327|ALSTOM COLOMBIA SUCURSAL DEL PERU|01/02/2015|RS R.S.395-2014|
20454186002|ALSUR PERU S.A.C.|01/11/2012|RS R.S.228-2012|
20503893241|ALTA TECNOLOGIA EN LIMPIEZA S.A.C.|01/07/2015|RS R.S.139-2015|
20536938657|ALTAMAR FOODS PERU S.R.L.|01/11/2012|RS R.S.228-2012|
20520604198|ALTAMES PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20537194490|ALTAR PRODUCE  PERU S.R.L.|01/07/2015|RS R.S.139-2015|
20101915132|ALTESA CONTRATISTAS GENERALES SOCIEDAD ANONIMA|01/03/2014|RS R.S.378-2013|
20394862704|ALTOMAYO PERU S.A.C.|01/06/2012|RS R.S.096-2012|
20296136728|ALTOS ANDES S.A.C|01/07/2015|RS R.S.139-2015|
20195011169|ALUSUD PERU S.A.|01/06/2002|RS R.S.037-2002|
20544884329|ALV TRADING S.A.|01/02/2015|RS R.S.395-2014|
20547416776|AMAUTA IMPRESIONES COMERCIALES SOCIEDAD ANÓNIMA CERRADA - AMAUTA IMPRESIONES COMERCIALES S.A.C.|01/07/2015|RS R.S.139-2015|
20330511827|AMAZON CORPORATION S.A.|01/09/2016|RS R.S.180-2016|
20521137682|AMAZONAS TRADING PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20414548491|AMCOR RIGID PLASTICS DEL PERU S.A.|01/06/2002|RS R.S.037-2002|
20292132591|AMEC FOSTER WHEELER PERU S.A.|01/03/2014|RS R.S.378-2013|
20513230843|AMECO PERU S.A.C.|01/12/2011|RS R.S.257-2011|
20118475284|AMERAL S.A.A.|01/02/2003|RS R.S.181-2002|
20472390521|AMERANDES TRANSPORTES LOGISTICOS S.A.C.|01/02/2015|RS R.S.395-2014|
20114111342|AMERICA EXPRESS S.A.|01/06/2012|RS R.S.096-2012|
20467534026|AMERICA MOVIL PERU S.A.C.|01/06/2002|RS R.S.037-2002|
20101070671|AMERICAN AIRLINES INC. SUCURSAL DEL PERU|01/06/2002|RS R.S.037-2002|
20600050282|AMERICAN METALS RECYCLING S.A.C. -  AMS RECYCLING|01/09/2016|RS R.S.180-2016|
20512110810|AMERICAN MOLDS S.A.C.|01/11/2012|RS R.S.228-2012|
20472086457|AMERICAN QUALITY AQUACULTURE S.A.C.|01/07/2015|RS R.S.139-2015|
20108764512|AMERICAN REPS S.A.C.|01/11/2012|RS R.S.228-2012|
20428698569|AMERICATEL PERU S.A.|01/05/2011|RS R.S.082-2011|
20518339452|AMITEX SAC|01/09/2016|RS R.S.180-2016|
20336864713|AMTEX S.A.C.|01/09/2016|RS R.S.180-2016|
20517187551|ANABI S.A.C.|01/05/2011|RS R.S.082-2011|
20508853727|ANALYTICA MINERAL SERVICES SOCIEDAD ANONIMA CERRADA|01/12/2011|RS R.S.257-2011|
20468268508|ANAZER S.A.C.|01/03/2014|RS R.S.378-2013|
20325288991|ANCHOVETA S.A.C.|01/03/2014|RS R.S.378-2013|
20431084172|ANCRO S.R.L.|01/11/2012|RS R.S.228-2012|
20512773924|ANDALUCITA S.A.|01/11/2012|RS R.S.228-2012|
20418649667|ANDEAN TECHNICAL OPERATIONS CENTER S.A.|01/06/2002|RS R.S.037-2002|
20549227369|ANDES ALIMENTOS & BEBIDAS S.A.C.|01/07/2015|RS R.S.139-2015|
20600051408|ANDES FOOD COMPANY S.A.C.|01/09/2016|RS R.S.180-2016|
20516323036|ANDINA DE DESARROLLO ANDESA S.A.C.|01/12/2011|RS R.S.257-2011|
20100114420|ANDINA DE RADIODIFUSION S.A.C.|01/02/2006|RS R.S.254-2005|
20106876321|ANDINA PLAST S R L|01/06/2002|RS R.S.037-2002|
20511230188|ANDINO INVESTMENT HOLDING S.A.A|01/02/2015|RS R.S.395-2014|
20428135327|ANDRITZ HYDRO S.A.|01/02/2015|RS R.S.395-2014|
20453537537|ANGELES MINERIA Y CONSTRUCCION S.A.C.|01/02/2003|RS R.S.181-2002|
20433819544|ANGLO AMERICAN PERU S.A.|01/03/2014|RS R.S.378-2013|
20137913250|ANGLO AMERICAN QUELLAVECO S.A.|01/05/2011|RS R.S.082-2011|
20253946661|ANGLOLAB S A|01/03/2014|RS R.S.378-2013|
20303063413|ANITA FOOD SA|01/11/2012|RS R.S.228-2012|
20545135184|ANIXTER JORVEX S.A.C.|01/07/2015|RS R.S.139-2015|
20418354781|ANIXTER PERU S.A.C.|01/02/2004|RS R.S. 008-2004|
20501424774|ANOVO PERU S.A.C.|01/03/2014|RS R.S.378-2013|
20510541724|ANTARES LOGISTICS S.A.C.|01/02/2015|RS R.S.395-2014|
20510957319|ANYPSA PERU S.A.|01/01/2007|RS R.S.219-2006|
20516818868|AOM SUMINISTROS INDUSTRIALES S.A.C|01/07/2015|RS R.S.139-2015|
20102185863|APC CORPORACION S.A.|01/08/2006|RS R.S.091-2006|
20538176967|APLEX TRADING SOCIEDAD ANONIMA CERRADA APLEX TRADING S.A.C.|01/03/2014|RS R.S.378-2013|
20543083888|APM TERMINALS CALLAO SOCIEDAD ANONIMA|01/11/2012|RS R.S.228-2012|
20107012011|APM TERMINALS INLAND SERVICES S.A.|01/06/2002|RS R.S.037-2002|
20257226558|APPLE GLASS PERUANA S.A.C|01/02/2015|RS R.S.395-2014|
20547735014|APUMAYO S.A.C.|01/07/2015|RS R.S.139-2015|
20458746720|ARAMARK PERU S.A.C.|01/11/2012|RS R.S.228-2012|
20102008066|ARAMAYO SAC CONT GRL ARAMSA CONT GRL SAC|01/09/2016|RS R.S.180-2016|
20543083454|ARATO PERU S.A.|01/11/2012|RS R.S.228-2012|
20552611307|ARCHROMA PERU S.A.|01/07/2015|RS R.S.139-2015|
20349304903|ARCLAD DEL PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20191308868|ARCOR DE PERU S A|01/06/2002|RS R.S.037-2002|
20136836545|ARDILES IMPORT S.A.C.|01/02/2015|RS R.S.395-2014|
20535652555|ARDYSS INTERNATIONAL PERU S.R.L.|01/11/2012|RS R.S.228-2012|
20114022838|ARENERA JAEN S.A.C.|01/06/2012|RS R.S.096-2012|
20498189637|AREQUIPA EXPRESO MARVISUR EIRL|01/11/2012|RS R.S.228-2012|
20504169848|ARES PERU SAC|01/09/2016|RS R.S.180-2016|
10153535057|ARIAS DE FLORENCIO BLANCA JULIA|01/07/2015|RS R.S.139-2015|
20452703271|ARIFE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA|01/03/2014|RS R.S.378-2013|
20100078369|ARIN S A|01/02/2015|RS R.S.395-2014|
20100257298|ARIS INDUSTRIAL S.A.|01/02/2004|RS R.S. 008-2004|
20160272784|ARMADORES Y CONGELADORES DEL PACIFICO SA|01/11/2012|RS R.S.228-2012|
20514987395|ARRENDAMIENTO OPERATIVO CIB S.A.C.|01/11/2012|RS R.S.228-2012|
20413770204|ART ATLAS S.R.L.|01/02/2015|RS R.S.395-2014|
20481104875|ARTECON PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20100067324|ARTESCO S.A.|01/01/2007|RS R.S.219-2006|
20514357961|ARTIMODA SA|01/03/2014|RS R.S.378-2013|
20466327612|ARUNTANI S.A.C.|01/02/2004|RS R.S. 008-2004|
20100057523|ASCENSORES S A|01/06/2002|RS R.S.037-2002|
20100139848|ASCENSORES SCHINDLER DEL PERU S A|01/06/2002|RS R.S.037-2002|
20100094569|ASESORIA COMERCIAL S.A. ACOSA|01/06/2002|RS R.S.037-2002|
20513679875|ASIA GRIFOS Y SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA|01/11/2012|RS R.S.228-2012|
20100538203|ASOC PERUANA DE AUTORES Y COMPOSITORES|01/07/2015|RS R.S.139-2015|
20538633021|ASOCIACION  IGLESIA ADVENTISTA DEL SEPTIMO DIA PERUANA  DEL NORTE|01/02/2015|RS R.S.395-2014|
20480904606|ASOCIACION AGRICOLA COMPOSITAN ALTO|01/02/2015|RS R.S.395-2014|
20505606435|ASOCIACION CIRCULO MILITAR DEL PERU|01/06/2012|RS R.S.096-2012|
20432861539|ASOCIACION CIVIL EDUCATIVA SACO OLIVEROS|01/02/2015|RS R.S.395-2014|
20525247091|ASOCIACION COMUNAL DE PRODUCTORES DE BANANO ORGANICO DE QUERECOTILLO Y ANEXOS|01/02/2015|RS R.S.395-2014|
20100093911|ASOCIACION COUNTRY CLUB EL BOSQUE|01/06/2002|RS R.S.037-2002|
20112844423|ASOCIACION CULTURAL PERUANO BRITANICA|01/02/2015|RS R.S.395-2014|
20484149748|ASOCIACION DE BANANEROS ORGANICOS SOLIDARIOS SALITRAL|01/02/2015|RS R.S.395-2014|
20139491077|ASOCIACION DE BANCOS DEL PERU|01/06/2002|RS R.S.037-2002|
20100365341|ASOCIACION DE EXPORTADORES|01/03/2014|RS R.S.378-2013|
20484162418|ASOCIACION DE PEQUEñOS PRODUCTORES ORGANICOS DE QUERECOTILLO|01/02/2015|RS R.S.395-2014|
20484002488|ASOCIACION DE PRODUCTORES DE BANANO ORGANICO VALLE DEL CHIRA|01/02/2015|RS R.S.395-2014|
20391043851|ASOCIACION DE PRODUCTORES DE CITRICOS DEL PERU - PROCITRUS|01/09/2016|RS R.S.180-2016|
20516886782|ASOCIACION EDUCATIVA ARES|01/07/2015|RS R.S.139-2015|
20337889167|ASOCIACION PASTORAL DE SERVICIOS MEDICOASISTENCIALES GOOD HOPE DE LA IGLESIA ADVENTISTA DEL SEPTIMO|01/06/2002|RS R.S.037-2002|
20145915164|ASOCIACION PERUANA DE LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS|01/02/2015|RS R.S.395-2014|
